#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given PanelName,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E1,78,1,2,2,2,2,3,3,4,,,3,0
2,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E2,77,1,2,3,3,2,3,2,4,,,3,0
3,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E3,78,1,2,2,3,3,2,3,3,,,3,0
4,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E4,82,1,1,1,2,2,3,2,3,,,3,0
5,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E5,100,,,,,,,,,,,,
6,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E8,100,,,,,,,,,,,,
7,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,E∑,157,2,4,4,5,4,6,5,7,0,0,6,0
8,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,T,0,,,,,,,,,,,,
9,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,D,20,0,,,,,,,,,,,
10,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,1,17300,8,0,4,H,0,0,0,,,,,,,,,,
11,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E1,74,2,2,2,3,3,3,4,4,,,3,0
12,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E2,75,1,3,3,3,3,3,4,3,,,2,0
13,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E3,77,1,2,2,2,3,3,4,4,,,2,0
14,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E4,75,1,2,2,3,3,3,4,4,,,3,0
15,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E5,100,,,,,,,,,,,,
16,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E8,100,,,,,,,,,,,,
17,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,E∑,151,2,4,4,6,6,6,8,8,0,0,5,0
18,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,T,0,,,,,,,,,,,,
19,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,D,50,0,,,,,,,,,,,
20,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,1,TRUE,2,37400,0,99,0,,1,0,Unkovich-Smith,Holly,Counties,01/01/0001,,2,20100,8,0,0,H,0,0,0,,,,,,,,,,
21,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E1,62,3,3,3,4,4,4,4,4,,,3,0
22,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E2,64,3,4,4,3,4,4,4,,,,,0
23,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E3,60,4,4,4,3,4,4,4,4,,,3,0
24,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E4,67,3,3,3,3,3,4,4,,,,,0
25,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E5,90,,,,,,,,,,,,
26,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E8,90,,,,,,,,,,,,
27,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,E∑,127,6,7,7,6,8,8,8,4,0,0,3,0
28,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,T,0,,,,,,,,,,,,
29,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,D,51,0,,,,,,,,,,,
30,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,1,17800,7,0,0,H,0,0,0,,,,,,,,,,
31,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E1,70,2,3,4,4,4,4,4,4,,,1,0
32,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E2,71,2,3,3,4,4,3,4,4,,,2,0
33,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E3,71,2,3,4,4,4,4,3,4,,,1,0
34,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E4,72,1,3,3,4,4,4,4,4,,,1,0
35,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E5,100,,,,,,,,,,,,
36,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E8,100,,,,,,,,,,,,
37,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,E∑,141,4,6,7,8,8,8,8,8,0,0,2,0
38,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,T,0,,,,,,,,,,,,
39,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,D,51,0,,,,,,,,,,,
40,0575c463-57fc-40ae-613e-c7c1010b21db,Tumbling Trial 2025,Counties Manukau Gymnastics,TUM,FIG 13-14 Years Female,Qualification,1,,2,TRUE,3,37000,0,99,0,,1,0,Campbell-Reidy,Bella,Gisborne,01/01/0001,,2,19200,8,0,0,H,0,0,0,,,,,,,,,,
