#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given PanelName,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E1,69,3,3,3,3,3,3,3,3,3,4,0,0
2,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E2,72,2,3,3,3,2,3,2,2,3,3,2,0
3,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E3,76,2,2,1,2,2,3,3,3,2,3,1,0
4,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E4,100,,,,,,,,,,,,
5,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E5,100,,,,,,,,,,,,
6,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E8,100,,,,,,,,,,,,
7,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,E∑,21700,4,5,4,5,4,6,5,5,5,6,1,0
8,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,T,0,,,,,,,,,,,,
9,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,D,0,0,,,,,,,,,,,
10,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,1,31500,10,0,0,H,980,980,0,,,,,,,,,,
11,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E1,68,3,3,3,3,3,3,3,3,3,4,1,0
12,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E2,74,3,2,2,2,3,2,3,3,3,3,0,0
13,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E3,73,3,3,3,2,2,2,3,3,3,3,0,0
14,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E4,100,,,,,,,,,,,,
15,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E5,100,,,,,,,,,,,,
16,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E8,100,,,,,,,,,,,,
17,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,E∑,21500,6,5,5,4,5,4,6,6,6,6,0,0
18,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,T,0,,,,,,,,,,,,
19,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,D,16,0,,,,,,,,,,,
20,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,1,TRUE,3,64500,0,99,0,,1,0,Middelberg,Amelia,Olympia Gymnastic Sports,01/01/0001,,2,33000,10,0,0,H,990,990,0,,,,,,,,,,
21,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E1,74,3,2,3,4,2,2,2,2,3,3,0,0
22,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E2,79,3,2,1,2,1,1,2,3,3,3,0,0
23,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E3,77,3,3,2,2,2,1,2,3,3,2,0,0
24,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E4,100,,,,,,,,,,,,
25,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E5,100,,,,,,,,,,,,
26,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E8,100,,,,,,,,,,,,
27,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,E∑,23000,6,4,3,4,3,2,4,5,6,5,0,0
28,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,T,0,,,,,,,,,,,,
29,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,D,0,0,,,,,,,,,,,
30,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,1,32800,10,0,0,H,980,980,0,,,,,,,,,,
31,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E1,73,2,3,3,3,3,3,3,2,2,3,0,0
32,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E2,77,2,1,2,3,3,3,1,2,3,3,0,0
33,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E3,79,2,2,3,2,3,2,2,1,2,2,0,0
34,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E4,100,,,,,,,,,,,,
35,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E5,100,,,,,,,,,,,,
36,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E8,100,,,,,,,,,,,,
37,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,E∑,22900,4,3,5,5,6,5,3,3,4,5,0,0
38,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,T,0,,,,,,,,,,,,
39,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,D,32,0,,,,,,,,,,,
40,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,2,TRUE,2,68600,0,99,0,,1,0,Wicksteed,Sienna,ICE Gymsports North Canterbury,01/01/0001,,2,35800,10,0,0,H,970,970,0,,,,,,,,,,
41,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E1,69,2,2,3,2,3,4,3,4,3,3,2,0
42,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E2,72,2,3,3,2,2,3,3,3,4,3,0,0
43,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E3,69,3,3,3,2,3,3,4,3,4,3,0,0
44,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E4,100,,,,,,,,,,,,
45,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E5,100,,,,,,,,,,,,
46,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E8,100,,,,,,,,,,,,
47,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,E∑,21000,4,5,6,4,5,6,6,6,7,6,0,0
48,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,T,0,,,,,,,,,,,,
49,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,D,0,0,,,,,,,,,,,
50,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,1,30700,10,0,0,H,970,970,0,,,,,,,,,,
51,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E1,68,3,4,3,3,2,2,4,3,3,3,2,0
52,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E2,64,3,3,4,3,3,3,3,4,4,3,3,0
53,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E3,68,3,3,4,3,2,2,3,3,3,3,3,0
54,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E4,100,,,,,,,,,,,,
55,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E5,100,,,,,,,,,,,,
56,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E8,100,,,,,,,,,,,,
57,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,E∑,20000,6,6,7,6,4,4,6,6,6,6,5,0
58,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,T,0,,,,,,,,,,,,
59,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,D,12,0,,,,,,,,,,,
60,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,3,TRUE,5,61700,0,99,0,,1,0,Hedges,Rebecca,ICE Gymsports North Canterbury,01/01/0001,,2,31000,10,0,0,H,980,980,0,,,,,,,,,,
61,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E1,65,4,3,2,4,3,4,3,3,4,4,1,0
62,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E2,70,3,3,3,3,2,3,3,3,4,3,0,0
63,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E3,69,4,3,3,3,2,3,3,3,4,3,0,0
64,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E4,100,,,,,,,,,,,,
65,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E5,100,,,,,,,,,,,,
66,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E8,100,,,,,,,,,,,,
67,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,E∑,20400,7,6,5,6,4,6,6,6,8,6,0,0
68,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,T,0,,,,,,,,,,,,
69,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,D,0,0,,,,,,,,,,,
70,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,1,29900,10,0,0,H,950,950,0,,,,,,,,,,
71,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E1,67,4,3,3,3,3,4,3,3,3,3,1,0
72,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E2,71,3,2,3,3,3,3,3,3,3,3,0,0
73,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E3,68,3,4,3,3,2,3,4,3,3,3,1,0
74,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E4,100,,,,,,,,,,,,
75,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E5,100,,,,,,,,,,,,
76,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E8,100,,,,,,,,,,,,
77,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,E∑,20600,6,5,6,6,5,6,6,6,6,6,1,0
78,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,T,0,,,,,,,,,,,,
79,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,D,17,0,,,,,,,,,,,
80,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,4,TRUE,4,62100,0,99,0,,1,0,Murphy,Eden,ICE Gymsports North Canterbury,01/01/0001,,2,32200,10,0,0,H,990,990,0,,,,,,,,,,
81,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,5,TRUE,7,44400,0,99,0,,1,0,Grayling,Evette,ICE Gymsports North Canterbury,01/01/0001,,1,22000,10,0,0,E1,70,4,3,1,2,2,2,3,4,3,5,1,0
82,8050cb81-30bf-47a6-4b0f-a892199e19c8,TCI #1 2023 AGE Interclub Trampoline Championships,,TRA,9-10 Years Female,Qualification,1,,5,TRUE,7,44400,0,99,0,,1,0,Grayling,Evette,ICE Gymsports North Canterbury,01/01/0001,,1,22000,10,0,0,E2,77,3,2,1,1,2,3,3,2,3,3,0,0
