#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given PanelName,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E1,70,2,3,3,4,3,4,2,3,3,3,0,0
2,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E2,69,3,3,4,3,3,4,2,3,3,3,0,0
3,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E3,72,3,3,3,2,3,3,2,3,2,3,1,0
4,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E4,72,2,3,3,3,3,3,2,3,3,3,0,0
5,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E5,100,,,,,,,,,,,,
6,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E8,100,,,,,,,,,,,,
7,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,E∑,142,5,6,6,6,6,7,4,6,6,6,0,0
8,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,T,12650,,,,,,,,,,,,
9,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,D,0,0,,,,,,,,,,,
10,96092ebf-6686-4bc9-5a82-5949656938ba,South Island Trial 2025,Olympia Gymnastic Sports,TRA,FIG 13-14 Years Female,Qualification,1,,1,TRUE,1,78010,0,99,0,,1,0,Milnthorp,Naya,CSG,01/01/0001,,1,36250,10,0,0,H,940,940,0,,,,,,,,,,
