#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given PanelName,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E1,84,1,1,0,1,2,2,1,1,3,4,,
2,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E2,78,2,2,2,1,2,2,2,2,3,4,,
3,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E3,76,2,2,2,2,2,2,2,2,3,5,,
4,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E4,76,2,2,2,2,2,2,2,2,3,5,,
5,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E5,100,,,,,,,,,,,,
6,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E8,100,,,,,,,,,,,,
7,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,E∑,154,4,4,4,3,4,4,4,4,6,9,0,0
8,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,T,0,,,,,,,,,,,,
9,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,D,8,0,,,,,,,,,,,
10,a4166950-054f-4ddc-623e-3803c53030a6,TCI #1 2023 Masters,,TRA,Masters Over 40's Novice Individual Trampoline,Qualification,1,,1,TRUE,1,52900,0,99,0,,1,0,Glanville,Nicci,Dynamic Gymnastics Sports,01/01/0001,,1,26100,10,0,0,H,990,990,0,,,,,,,,,,
